premise	hypothesis	label
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the headquarters are outdoors.	0
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the person is a photographer selling his pictures.	1
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	a new guy is putting his favorite photos of the woman he's stalking up in his shrine with her.	2
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the boy is sleeping.	2
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	a person is cooking in a cafeteria.	2
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	they are hanging something on the wall.	0
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	five men, one standing on a chair, are singing a row.	1
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	the men are walking to the nearest men's chairs.	2
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a group of men are hanging a picture on a frame.	0
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a man in a black shirt hangs near out.	2
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a group of men, all wearing white shirts, hang a picture.	1
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	there's a group of men hanging up his boyd.	0
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	five men are helping a child to hang a picture.	2
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a man 128 hanging a picture of a child.	0
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a man had held up a picture of a child.	0
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	four men are watching a fifth as he hangs a picture of a nu.	1
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	the men are hanging up a picture of a missing boy.	1
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	some men are outside in a field.	2
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a father is checking a picture of his child surrounded by family meybers and friends.	1
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	a man is born with a child.	2
There are four Eastern guys working on and hanging pictures of humans.	the men are hanging the photos.	1
There are four Eastern guys working on and hanging pictures of humans.	the women are working.	2
There are four Eastern guys working on and hanging pictures of humans.	the men are out.	0
A man in a white shirt hangs a painting in a run down store while other men watch.	an artist is showing his painting to others.	1
A man in a white shirt hangs a painting in a run down store while other men watch.	men competed indoors.	0
A man in a white shirt hangs a painting in a run down store while other men watch.	men are playing a civilized game.	2
Men are playing soccer, the one in front is about to kick the ball.	two guys are standing on the dock.	2
Men are playing soccer, the one in front is about to kick the ball.	the guys are playing a game.	0
Men are playing soccer, the one in front is about to kick the ball.	the man steered the ball towards the goal.	1
A man is putting up a poster in front of a shop.	the man was taking down the lawyers.	2
A man is putting up a poster in front of a shop.	a man is cleaning a bathroom in a shop.	2
A man is putting up a poster in front of a shop.	the shop did not refuse to let the man put up the poster.	1
A man is putting up a poster in front of a shop.	the man from the shop.	1
A man is putting up a poster in front of a shop.	a man is putting up a sale sign in front of a shop.	1
A man is putting up a poster in front of a shop.	the man is waiting for a bus.	2
A man is putting up a poster in front of a shop.	a man hangs a poster of iron man in front of a shop.	1
A man is putting up a poster in front of a shop.	a woman walks into a comic book box.	2
A man is putting up a poster in front of a shop.	a man is decorating a house.	0
A man is putting up a poster in front of a shop.	the man is putting up a poster.	0
A man is putting up a poster in front of a shop.	the man is indoors.	2
A man is putting up a poster in front of a shop.	a man is putting a movie poster there for the next big action movie.	1
A man is putting up a poster in front of a shop.	a girl hangs a banner in front of a shop.	0
A man is putting up a poster in front of a shop.	there is ahaus in section of the shop.	0
A man is putting up a poster in front of a shop.	a man was standing in front of a shop.	0
The Arsenal football club warms-up on the soccer field as a few fans watch.	a robotic team during fence ups.	2
The Arsenal football club warms-up on the soccer field as a few fans watch.	good soccer teaming getting ready for a game.	1
The Arsenal football club warms-up on the soccer field as a few fans watch.	a local new soccer club during warm ups.	0
Soccer players warm up by kicking the soccer ball around while the crowd waits.	the players were on a bus which broke down on the ;	2
Soccer players warm up by kicking the soccer ball around while the crowd waits.	the crowd cheered on as the players prepared themselves.	0
Soccer players warm up by kicking the soccer ball around while the crowd waits.	the crowd watched the players warm up and shouted.	1
